unified_id,source_file,type,price,area,bedrooms,bathrooms,city,region,address,level,furnished,rent,lat,lng
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_794,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,30000.0,135.0,,,cairo,Mostafa El Nahaas St.,"Furnished apartment for rent at a very reduced price in the Golden Square, ",,,,30.054,31.341
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_796,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,27000.0,250.0,,,cairo,Mokattam,المقطم,,,,30.025,31.304
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_797,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,85000.0,140.0,,,cairo,V Residence - Villette ,فيليت,,,,30.024467572275,31.555843348615
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_798,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,23000.0,120.0,,,cairo,Gardenia City,"Furnished apartment for rent in Gardenia City Compound, near the airport, Nasr City.",,,,30.061,31.394
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_799,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,45000.0,200.0,,,cairo,Abbas El Akkad St.,"- 200 sq m furnished apartment for rent in the First District, Nasr City",,,,30.061,31.337
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_800,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,25000.0,170.0,,,cairo,Gamal El Din Dwidar St.,شقه للايجارموقع مميز المنطقه التامنه جانب السراج مول مدينه نصر ,,,,30.045944,31.342965
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_802,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,15000.0,160.0,,,cairo,El Lebeny,فيصل,,,,29.986799356746236,31.14993914859951
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_803,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,12000.0,100.0,,,cairo,Faisal,فيصل,,,,30.023,31.17
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_804,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,40000.0,180.0,,,cairo,Ashgar Darna Compound - M Squared,"كمبوند أشجار دارنا - ام سكويرد, كمبوند بالمعادي",,,,29.982,31.323
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_805,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,40000.0,210.0,,,cairo,Northern 90th St.,جنوب الأكاديمية ,,,,30.021,31.43
